Dataset_Name,Dataset_IDnum,Organization_Name,Observer_Name,Island_Name,Region_Name,Sector_Name,Survey_Name,Survey_ID_InternalToYourProject,Depth_ft,Depth_bin,Latitude_DD,Longitude_DD,ObservationDate,AreaSurveyed_m2,%LiveCoralCover,%LiveCoralCover_Bin,%CoralBleached,%CoralBleached_Bin,BleachingSeverity,Taxon1_Code,Taxon1_%Cover,Taxon1_%Bleached,Taxon1_Ave_Sev,Taxon1_Max_Sev,Taxon2_Code,Taxon2_%Cover,Taxon2_%Bleached,Taxon2_Ave_Sev,Taxon2_Max_Sev,Taxon3_Code,Taxon3_%Cover,Taxon3_%Bleached,Taxon3_Ave_Sev,Taxon3_Max_Sev,Taxon4_Code,Taxon4_%Cover,Taxon4_%Bleached,Taxon4_Ave_Sev,Taxon4_Max_Sev,Taxon5_Code,Taxon5_%Cover,Taxon5_%Bleached,Taxon5_Ave_Sev,Taxon5_Max_Sev,Taxon6_Code,Taxon6_%Cover,Taxon6_%Bleached,Taxon6_Ave_Sev,Taxon6_Max_Sev,Taxon7_Code,Taxon7_%Cover,Taxon7_%Bleached,Taxon7_Ave_Sev,Taxon7_Max_Sev,Taxon8_Code,Taxon8_%Cover,Taxon8_%Bleached,Taxon8_Ave_Sev,Taxon8_Max_Sev,Comments_Observation,Cluster_DepthBin_ID
DAR_Hawaii_Rapid,DAR_01,DAR_Kona,LK,Hawaii,MHI,North Kona,Acropora Gardens,99,25,,19.498,-155.95,10/28/2019,100,10,,45,,3,AGEM,5,90,3,,PLOB,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ACGE: 10% BL(0), 30% BL(1), 70% (2/3), Montipora: BL(3) in area, POME: uncommon, recruits BL(3), adults BL(1/2) tips.",1 Mid
DAR_Hawaii_Rapid,DAR_01,DAR_Kona,LK,Hawaii,MHI,Kau,Fixed_Honomolino_Omakaa_Milolii,23,40,,19.1673,-155.91325,10/24/2019,100,35,,70,,2,PCOM,24,90,2,,PLOB,10,20,2,,PLUT,1,99,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"MOCA: 1 sm col BL(3), PAVA: 1 sm col BL(4), POEV: BL(3/4) outside quad, some BL(1), POCO/ POLO: 2% BL(4) new mortality, POME: 50% BL(2) tips",28 Mid
DAR_Hawaii_Rapid,DAR_01,DAR_Kona,LK,Hawaii,MHI,Kau,Fixed_Manuka,24,42,,19.07672,-155.90397,10/24/2019,100,72,,40,,2,PLOB,45,30,2,,PCOM,25,60,1,,PLUT,2,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"MOCA/PAVA: slightly pale, POLO: 3 cols. BL(4), POCO: 2% BL(4) mortality, POME: 1 few sm cols BL(3), deflated Sinularia densa, ",33 Mid
DAR_Hawaii_Rapid,DAR_01,DAR_Kona_Hilo,LK,Hawaii,MHI,North Hilo,Hilo Bay_outside breakwall,108- Temp,35,,19.74554,-155.05887,10/25/2019,100,15,,7,,2,PLOB,5,0,0,,PMEA,5,10,2,,MCAP,5,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"LETR: NB(0), MOFL: <1% cover BL(3) blue, MOPA: NB(0), PADU: BL(1), POCO: NB(0), POGR: NB(0)",67 Mid
DAR_Hawaii_Rapid,DAR_01,DAR_Kona_Hilo,LK,Hawaii,MHI,North Hilo,Leleiwi,106-Temp,42,,19.73491,-155.01804,10/25/2019,100,65,,2,,1,PCOM,45,0,0,,PLOB,15,2,1,,PMEA,2,60,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fungia/Lobactis spp.: NB(0), MOCA: NB(0), MOPA: NB(0), MOFL: BL(3) @ 20' white/blue, PADU: BL(0/1), POME: a few BL(2)",115 Mid
DAR_Hawaii_Rapid,DAR_01,DAR_Kona_Hilo,LK,Hawaii,MHI,North Hilo,Puhi Bay,107- Temp,16,,19.7338,-155.04594,10/25/2019,100,80,,7,,1,PCOM,30,2,1,,MCAP,25,20,1,,PLOB,10,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"MOCA: 1 col BL(3), POCO: 2% new mortality BL(4), POLO: a few BL(1), POME: 5% cover, 50% BL(1/2), PORU: 10% cover BL(0)  High coral diversity at site.  ",248 Shallow
DAR_Hawaii_Rapid,DAR_01,DAR_Kona_NOAA_ESD,CSC,Hawaii,MHI,North Kona,Anaehoomalu North,OCC-HAW-013,45,,19.9309,-155.8921,10/16/2019,100,9,,16,,2,PLOB,7,10,1,,PCOM,1,1,1,,MCAP,1,75,3,,,,,,,,,,,,,,,,,,,,,,,,,,,"PAVA: <1% cover, 50% BL(2), POEV: 1 col, 50% BL(1) ",7 Mid
DAR_Hawaii_Rapid,DAR_01,DAR_Kona_NOAA_ESD,CSC,Hawaii,MHI,North Kona,Fixed_Honokohau,11,42,,19.67098,-156.03033,10/17/2019,100,70,,44,,2,PCOM,49,50,1,,PLOB,20,30,2,,MPAT,1,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,"MOCA: 1 col BL (2), ",6 Mid
DAR_Hawaii_Rapid,DAR_01,DAR_Kona_NOAA_ESD,LK,Hawaii,MHI,South Kohala,Fixed_Kaupulehu,7,42,,19.84395,-155.98097,10/16/2019,100,40,,31,,1,PLOB,35,30,1,,PCOM,3,50,1,,MCAP,1,50,3,,,,,,,,,,,,,,,,,,,,,,,,,,,"PAVA: 1 colony PL(1); POEV: 1 colony blue flourescense, POLO: a few BL(2)",29 Mid
DAR_Hawaii_Rapid,DAR_01,DAR_Kona_NOAA_ESD,LK,Hawaii,MHI,South Kona,Fixed_Kealakekua Bay,19,32,,19.4793,-155.93278,10/17/2019,100,20,,80,,2,PCOM,15,80,2,,PLOB,5,80,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fungia/Lobactis spp.: BL(3/4), PAVA: a few BL(4)s, POCO: a few BL blue, POLO: a few BL(3s) small cols, PSST:BL(3/4), ",30 Mid
